% time	cellId	IMSI	RNTI	rsrp	sinr
2.81321	1	3	1	6.39784e-11	2.4928
2.81321	1	4	3	6.47095e-11	2.5693
2.81321	1	5	4	6.53567e-11	2.6439
2.81421	1	1	2	6.22863e-11	2.33548
2.81421	1	2	6	6.31669e-11	2.41457
2.81421	1	3	1	6.39762e-11	2.49258
2.81421	1	4	3	6.47077e-11	2.56911
2.81421	1	5	4	6.53554e-11	2.64374
2.81521	1	1	2	6.2283e-11	2.3352
2.81521	1	2	6	6.31642e-11	2.41432
2.81521	1	3	1	6.3974e-11	2.49236
2.81521	1	4	3	6.4706e-11	2.56892
2.81521	1	5	4	6.53541e-11	2.64359
2.81621	1	1	2	6.22798e-11	2.33492
2.81621	1	2	6	6.31615e-11	2.41407
2.81621	1	3	1	6.39718e-11	2.49214
2.81621	1	4	3	6.47043e-11	2.56873
2.81621	1	5	4	6.53528e-11	2.64343
2.81721	1	1	2	6.22765e-11	2.33464
2.81721	1	2	6	6.31588e-11	2.41382
2.81721	1	3	1	6.39696e-11	2.49192
2.81721	1	4	3	6.47026e-11	2.56854
2.81721	1	5	4	6.53515e-11	2.64327
2.81821	1	1	2	6.22733e-11	2.33435
2.81821	1	2	6	6.31561e-11	2.41357
2.81821	1	3	1	6.39675e-11	2.4917
2.81821	1	4	3	6.47009e-11	2.56836
2.81821	1	5	4	6.53502e-11	2.64311
2.81921	1	1	2	6.227e-11	2.33407
2.81921	1	2	6	6.31534e-11	2.41331
2.81921	1	3	1	6.39653e-11	2.49148
2.81921	1	4	3	6.46992e-11	2.56817
2.81921	1	5	4	6.5349e-11	2.64296
2.82021	1	1	2	6.22668e-11	2.33379
2.82021	1	2	6	6.31507e-11	2.41306
2.82021	1	3	1	6.39631e-11	2.49126
2.82021	1	4	3	6.46974e-11	2.56798
2.82021	1	5	4	6.53477e-11	2.6428
2.82121	1	1	2	6.22635e-11	2.33351
2.82121	1	2	6	6.3148e-11	2.41281
2.82121	1	3	1	6.39609e-11	2.49104
2.82121	1	4	3	6.46957e-11	2.56779
2.82121	1	5	4	6.53464e-11	2.64264
2.82221	1	1	2	6.22603e-11	2.33322
2.82221	1	2	6	6.31452e-11	2.41256
2.82221	1	3	1	6.39587e-11	2.49082
2.82221	1	4	3	6.4694e-11	2.5676
2.82221	1	5	4	6.53451e-11	2.64249
2.82321	1	1	2	6.2257e-11	2.33294
2.82321	1	2	6	6.31425e-11	2.41231
2.82321	1	3	1	6.39565e-11	2.4906
2.82321	1	4	3	6.46923e-11	2.56741
2.82321	1	5	4	6.53438e-11	2.64233
2.82421	1	1	2	6.22538e-11	2.33266
2.82421	1	2	6	6.31398e-11	2.41206
2.82421	1	3	1	6.39543e-11	2.49038
2.82421	1	4	3	6.46905e-11	2.56723
2.82421	1	5	4	6.53425e-11	2.64217
2.82521	1	1	2	6.22505e-11	2.33238
2.82521	1	2	6	6.31371e-11	2.41181
2.82521	1	3	1	6.39521e-11	2.49016
2.82521	1	4	3	6.46888e-11	2.56704
2.82521	1	5	4	6.53412e-11	2.64202
2.82621	1	1	2	6.22472e-11	2.33209
2.82621	1	2	6	6.31344e-11	2.41155
2.82621	1	3	1	6.39499e-11	2.48994
2.82621	1	4	3	6.46871e-11	2.56685
2.82621	1	5	4	6.53399e-11	2.64186
2.82721	1	1	2	6.2244e-11	2.33181
2.82721	1	2	6	6.31317e-11	2.4113
2.82721	1	3	1	6.39477e-11	2.48972
2.82721	1	4	3	6.46854e-11	2.56666
2.82721	1	5	4	6.53386e-11	2.6417
2.82821	1	1	2	6.22407e-11	2.33153
2.82821	1	2	6	6.3129e-11	2.41105
2.82821	1	3	1	6.39455e-11	2.4895
2.82821	1	4	3	6.46836e-11	2.56647
2.82821	1	5	4	6.53373e-11	2.64155
2.82921	1	1	2	6.22375e-11	2.33125
2.82921	1	2	6	6.31262e-11	2.4108
